--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
223724,1927,1894,-126,-152,-1,-2,4095,99
223807,1929,1898,-124,-149,-1,-2,4095,99
223890,1936,1895,-122,-149,-1,-2,4095,99
223973,1942,1898,-118,-149,-1,-2,4095,99
224056,1925,1894,-118,-149,-1,-2,4095,99
224139,1925,1889,-118,-151,-1,-2,4095,99
224222,1935,1899,-118,-151,-1,-2,4095,99
224305,1928,1897,-123,-151,-1,-2,4095,99
224388,1923,1900,-125,-151,-1,-2,4095,99
224471,1931,1899,-122,-153,-1,-2,4095,99
224554,1923,1898,-120,-152,-1,-2,4095,99
224637,1929,1906,-120,-151,-1,-2,4095,99
224720,1936,1903,-118,-151,-1,-2,4095,99
224803,1929,1898,-118,-151,-1,-2,4095,99
224886,1931,1898,-120,-151,-1,-2,4095,99
224969,1937,1892,-145,-132,-2,-1,4095,99
225052,1911,1851,-129,-182,-1,-2,4095,99
225135,1929,1898,-124,-164,-1,-2,4095,99
225218,1917,1897,-118,-158,-1,-2,4095,99
225301,1926,1899,-115,-155,-1,-2,4095,99
225384,1930,1900,-116,-154,-1,-2,4095,99
225467,1927,1898,-120,-159,-1,-2,4095,99
225550,1920,1898,-121,-157,-1,-2,4095,99
225633,1931,1898,-121,-123,-1,-1,4095,99
225716,1927,1910,-121,-141,-1,-2,4095,99
225799,1928,1891,-113,-147,-1,-2,4095,99
225882,1934,1895,-115,-147,-1,-2,4095,99
225965,1927,1901,-119,-151,-1,-2,4095,99
226048,1930,1899,-120,-154,-1,-2,4095,99
226131,1929,1897,-120,-158,-1,-2,4095,99
226214,1930,1897,-132,-145,-1,-2,4095,99
226297,1930,1889,-126,-160,-1,-2,4095,99
226380,1920,1889,-125,-156,-1,-2,4095,99
226463,1930,1903,-123,-152,-1,-2,4095,99
226546,1931,1895,-122,-151,-1,-2,4095,99
226629,1935,1902,-121,-151,-1,-2,4095,99
226712,1931,1898,-121,-150,-1,-2,4095,99
226795,1931,1891,-120,-150,-1,-2,4095,99
226878,1922,1893,-120,-150,-1,-2,4095,99
226961,1930,1899,-120,-150,-1,-2,4095,99
227044,1927,1879,-120,-164,-1,-2,4095,99
227127,1925,1899,-120,-163,-1,-2,4095,99
227210,1919,1892,-120,-156,-1,-2,4095,99
227293,1925,1893,-120,-138,-1,-2,4095,99
227376,1929,1897,-120,-144,-1,-2,4095,99
227459,1933,1901,-120,-158,-1,-2,4095,99
227542,1930,1899,-120,-157,-1,-2,4095,99
227625,1931,1909,-120,-151,-1,-2,4095,99
227708,1930,1897,-112,-151,-1,-2,4095,99
227791,1893,1887,-138,-156,-2,-2,4095,99
227874,1917,1904,-125,-154,-1,-2,4095,99
227957,1936,1904,-120,-152,-1,-2,4095,99
228040,1918,1889,-122,-152,-1,-2,4095,99
228123,1934,1900,-121,-154,-1,-2,4095,99
228206,1893,1907,-138,-148,-2,-2,4095,99
228289,1931,1878,-127,-156,-1,-2,4095,99
228372,1934,1901,-123,-142,-1,-2,4095,99
228455,1935,1893,-121,-146,-1,-2,4095,99
228538,1926,1901,-121,-150,-1,-2,4095,99
228621,1924,1901,-133,-150,-1,-2,4095,99
228704,1930,1904,-123,-170,-1,-2,4095,99
228787,1936,1900,-120,-156,-1,-2,4095,99
228870,1927,1903,-118,-152,-1,-2,4095,99
228953,1951,1903,-111,-148,-1,-2,4095,99
229036,1929,1900,-113,-153,-1,-2,4095,99
229119,1929,1901,-114,-155,-1,-2,4095,99
229202,1926,1901,-118,-154,-1,-2,4095,99
229285,1929,1904,-118,-148,-1,-2,4095,99
229368,2032,1899,-16,-148,-1,-2,4095,99
229451,1920,1886,-127,-152,-1,-2,4095,99
229534,1929,1899,-126,-149,-1,-2,4095,99
229617,1930,1901,-121,-159,-1,-2,4095,99
229700,1931,1901,-119,-154,-1,-2,4095,99
229783,1925,1895,-127,-153,-1,-2,4095,99
229866,1926,1899,-126,-157,-1,-2,4095,99
