--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Macroboard V1: Advertising Started...
# Sensor debug mode enabled
# CSV columns:
# ms,joy_x_raw,joy_y_raw,joy_x_centered,joy_y_centered,joy_x_step,joy_y_step,pot_raw,pot_pct
20878,1931,1915,-122,-147,-1,-2,4095,99
20961,1907,1894,-127,-148,-1,-2,4095,99
21044,1923,1899,-126,-150,-1,-2,4095,99
21127,1930,1885,-134,-150,-1,-2,4095,99
21210,1930,1894,-124,-150,-1,-2,4095,99
21293,1935,1917,-122,-149,-1,-2,4095,99
21376,1922,1894,-120,-163,-1,-2,4095,99
21459,1930,1899,-123,-158,-1,-2,4095,99
21542,1927,1916,-119,-146,-1,-2,4095,99
21625,1927,1904,-119,-143,-1,-2,4095,99
21708,1929,1887,-102,-153,-1,-2,4095,99
21791,1933,1897,-112,-153,-1,-2,4095,99
21874,1932,1895,-120,-141,-1,-2,4095,99
21957,1927,1892,-120,-146,-1,-2,4095,99
22040,1920,1895,-120,-148,-1,-2,4095,99
22123,1927,1899,-120,-153,-1,-2,4095,99
22206,1919,1870,-121,-163,-1,-2,4095,99
22289,1962,1899,-104,-163,-1,-2,4095,99
22372,1931,1889,-126,-156,-1,-2,4095,99
22455,1930,1901,-122,-142,-1,-2,4095,99
22538,1927,1898,-127,-145,-1,-2,4095,99
22621,1921,1903,-125,-146,-1,-2,4095,99
22704,1919,1893,-122,-148,-1,-2,4095,99
22787,1937,1894,-120,-154,-1,-2,4095,99
22870,1930,1895,-120,-138,-1,-2,4095,99
22953,1931,1898,-124,-146,-1,-2,4095,99
23036,1968,1899,-98,-148,-1,-2,4095,99
23119,1931,1896,-107,-148,-1,-2,4095,99
23202,1936,1899,-122,-156,-1,-2,4095,99
23285,1930,1898,-122,-153,-1,-2,4095,99
23368,1931,1982,-122,-66,-1,-1,4095,99
23451,1928,1904,-122,-147,-1,-2,4095,99
23534,1929,1901,-133,-149,-1,-2,4095,99
23617,1921,1853,-125,-180,-1,-2,4095,99
23700,1938,1899,-120,-142,-1,-2,4095,99
23783,1923,1927,-120,-137,-1,-1,4095,99
23866,1927,1898,-120,-146,-1,-2,4095,99
23949,1910,1903,-124,-147,-1,-2,4095,99
24032,1933,1883,-123,-153,-1,-2,4095,99
24115,1930,1899,-123,-153,-1,-2,4095,99
24198,1930,1902,-123,-149,-1,-2,4095,99
24281,1917,1894,-122,-149,-1,-2,4095,99
24364,1925,1885,-122,-175,-1,-2,4095,99
